2024-04-29T19:30:44.484435381Z [INFO]: master configuration: {"config_file":"","log":{"level":"info","color":true},"db":{"user":"postgres","password":"********","migrations":"file:///usr/share/determined/master/static/migrations","host":"localhost","port":"5432","name":"determined","ssl_mode":"disable","ssl_root_cert":""},"tensorboard_timeout":300,"notebook_timeout":null,"security":{"default_task":{"id":0,"user_id":0,"user":"root","uid":0,"group":"root","gid":0},"tls":{"cert":"","key":""},"ssh":{"rsa_key_size":1024},"authz":{"type":"basic","fallback":"basic","rbac_ui_enabled":null,"_strict_ntsc_enabled":false,"workspace_creator_assign_role":{"enabled":true,"role_id":2},"strict_job_queue_control":false}},"checkpoint_storage":{"host_path":"/root/.determined","propagation":null,"save_experiment_best":0,"save_trial_best":1,"save_trial_latest":1,"storage_path":"determined-checkpoint","type":"shared_fs"},"task_container_defaults":{"shm_size_bytes":4294967296,"network_mode":"host","cpu_pod_spec":null,"gpu_pod_spec":null,"add_capabilities":null,"drop_capabilities":null,"devices":null,"bind_mounts":null,"work_dir":null,"slurm":{},"pbs":{},"LogPolicies":null,"kubernetes":null},"port":3389,"root":"/usr/share/determined/master","telemetry":{"enabled":true,"segment_master_key":"********","otel_enabled":false,"otel_endpoint":"localhost:4317","segment_webui_key":"********","cluster_id":""},"enable_cors":false,"launch_error":true,"cluster_name":"","logging":{"type":"default"},"observability":{"enable_prometheus":false},"cache":{"cache_dir":"/var/cache/determined"},"webhooks":{"base_url":"","signing_key":"d8590cd34061"},"feature_switches":[],"reserved_ports":null,"resource_manager":{"client_ca":"","default_aux_resource_pool":"a100","default_compute_resource_pool":"a100","no_default_resource_pools":false,"require_authentication":false,"scheduler":{"allow_heterogeneous_fits":false,"fitting_policy":"best","type":"fair_share"},"type":"agent"},"resource_pools":[{"pool_name":"a100","description":"","provider":null,"max_aux_containers_per_agent":100,"task_container_defaults":null,"agent_reattach_enabled":false,"agent_reconnect_wait":"25s","kubernetes_namespace":""}],"__internal":{"audit_logging_enabled":false,"external_sessions":{"login_uri":"","logout_uri":"","jwt_key":""},"proxied_servers":null}}
2024-04-29T19:30:44.599899338Z [INFO]: Determined master 0.26.3 (built with go1.21.0)
2024-04-29T19:30:44.599931078Z [INFO]: connecting to database localhost:5432
2024-04-29T19:30:48.633611966Z [WARNING]: failed to connect to postgres, trying again in 4s  error="failed to connect to `host=localhost user=postgres database=determined`: failed to receive message (read tcp 127.0.0.1:34106->127.0.0.1:5432: read: connection reset by peer)"
2024-04-29T19:30:49.234050039Z [INFO]: running DB migrations from file:///usr/share/determined/master/static/migrations; this might take a while...
2024-04-29T19:30:49.372823392Z [INFO]: no migrations to apply; version: 20231031103358
2024-04-29T19:30:49.372847097Z [INFO]: DB migrations completed
2024-04-29T19:30:49.832663731Z [INFO]: deleting all snapshots for terminal state experiments
2024-04-29T19:30:49.882696265Z [INFO]: Loaded CA certificate and key from database
2024-04-29T19:30:49.885482951Z [INFO]: Loaded master certificate and key from database
2024-04-29T19:30:49.930763843Z [INFO]: creating resource pool: a100  actor-local-addr="agentRM" actor-system="master" go-type="agentResourceManager"
2024-04-29T19:30:49.930835888Z [INFO]: pool a100 using global scheduling config  actor-local-addr="agentRM" actor-system="master" go-type="agentResourceManager"
2024-04-29T19:30:49.930931007Z [INFO]: not enabling provisioner for resource pool: a100  actor-local-addr="a100" actor-system="master" go-type="resourcePool" resource-pool="a100"
2024-04-29T19:30:50.049372288Z [INFO]: adding agent: walnut  actor-local-addr="a100" actor-system="master" agent-id="walnut" go-type="resourcePool" resource-pool="a100"
2024-04-29T19:30:50.058844863Z [INFO]: draining agent: walnut  actor-local-addr="walnut" actor-system="master" go-type="agent"
2024-04-29T19:30:50.071491391Z [INFO]: scheduling next resource allocation aggregation in 4h30m10s at 2024-04-30 00:01:00 +0000 UTC
2024-04-29T19:30:50.425849293Z [INFO]: resources are requested by jordan-new (Allocation ID: 07e9ec0c-9968-4005-9440-b1ff61b944d4.1)  actor-local-addr="a100" actor-system="master" allocation-id="07e9ec0c-9968-4005-9440-b1ff61b944d4.1" go-type="resourcePool" resource-pool="a100" restore="true" restoring="true"
2024-04-29T19:30:50.427998163Z [INFO]: 1 resources allocated  job-id="7ecb5c43-af7a-46f9-861f-71ba754f2905" restore="true" task-id="07e9ec0c-9968-4005-9440-b1ff61b944d4" task-type="NOTEBOOK"
2024-04-29T19:30:50.471326052Z [INFO]: registering service: 07e9ec0c-9968-4005-9440-b1ff61b944d4 (https://10.182.1.111:3081)  component="proxy"
2024-04-29T19:30:50.498950160Z [INFO]: telemetry reporting is enabled; run with --telemetry-enabled=false to disable  component="telemetry"
2024-04-29T19:30:50.500161542Z [INFO]: accepting incoming connections on port 3389
2024-04-29T19:31:02.609584013Z [INFO]: restoring agent id: walnut  actor-local-addr="agents" actor-system="master" go-type="agents" reconnect="false"
